A01,,A02,,A03,,A04,,A05,,A06,,A07,,A08,,A09,,A10,
15.72696085,2413.373,15.89785793,2438.945118,16.29909795,2284.459419,16.85918456,2224.57658,16.26911092,2279.184676,15.53789708,2393.613358,16.17998097,2174.549527,16.84586486,2259.801237,16.47160908,2098.725413,16.22944098,2225.015479
16.58158961,2452.63901,16.38540084,2496.805138,16.17158759,2287.352421,16.17664726,2310.412884,15.56837896,2139.209729,16.05895316,2214.573746,16.66920831,2045.480477,16.37667212,2267.212388,16.85623098,2105.243772,16.44524628,2048.337671
16.54691235,2435.211449,16.80139833,2461.561901,16.24878358,2347.526031,16.19315975,2425.195123,16.27756337,2204.766039,16.32213426,2337.58283,16.50251183,2191.118879,17.03493602,2302.743685,16.76874598,2173.058207,16.72911666,2203.2393
17.10689296,2396.625565,17.9615149,2351.326253,16.35174311,2277.412062,16.69955047,2380.186261,16.21080777,2020.384933,16.68046908,2359.113989,15.52759927,2270.009607,18.2188027,2257.243739,16.34376634,2169.190552,15.94629313,2134.766776
18.27531734,2289.870287,18.40014984,2205.413406,16.75794646,2316.395651,17.05193491,2306.013358,16.64455886,2212.982206,17.21291694,2265.216534,17.79659872,2196.377512,17.48401935,2311.433927,17.82983635,2123.311445,18.08566063,2177.858075
17.6152077,2424.782506,17.55385794,2294.037759,17.27535273,2229.562983,16.71106743,2264.41168,17.88750669,2169.712294,17.59756432,2311.128166,18.04240663,2150.515922,17.56787755,2309.718628,18.11127973,2197.432903,17.74323222,2181.186398
18.35157757,2462.948256,18.92271482,2352.083423,17.57846422,2267.011963,17.99070896,2216.970268,17.45066,2270.005718,17.39314468,2585.369837,18.4008493,2113.814021,18.27186485,2261.094526,18.78546145,2145.035483,18.36958548,2113.314559
18.51586224,2438.55298,19.09366061,2425.570631,18.46347674,2353.772684,18.85327221,2274.370093,18.18592006,2177.088621,17.6815377,2430.282068,18.55764172,2287.623003,18.10314856,2291.268259,18.60209904,2204.472295,18.60479413,2267.637396
19.01955218,2355.609158,18.90241743,2371.232125,17.7658898,2340.711628,17.60013217,2436.867911,18.01197114,2277.021041,18.74099568,2466.182059,17.8143949,2330.474198,19.25341253,2369.941005,18.36072803,2325.959006,18.02111026,2375.84517
19.37733793,2539.422652,19.4829811,2510.301497,18.7278589,2450.246257,18.54324287,2368.200566,18.82901616,2298.424769,17.71993187,2328.139377,18.33470012,2363.151722,19.27341855,2412.901186,18.68626067,2319.755254,18.1209068,2265.114712
18.81182785,2569.575977,18.56496311,2488.528185,18.89095622,2402.107788,19.58546948,2462.976071,19.38048276,2227.724043,19.53435171,2513.334614,20.11790671,2288.789445,19.85623069,2401.976225,19.85413288,2277.004401,20.31278811,2239.67429
20.11365261,2452.469825,19.87688,2387.952162,19.53718889,2452.644096,19.10748548,2410.465261,18.8352975,2227.795255,20.08615755,2483.525747,20.46455391,2384.205188,20.26346141,2245.832385,20.25290923,2365.417226,20.11491234,2385.756617
20.21300457,2379.419976,20.47103769,2271.4685,19.69853052,2430.275476,19.67763741,2498.67261,18.73467636,2359.662234,19.47816214,2547.286613,20.24558995,2369.036202,19.55314941,2358.492714,20.01256729,2348.601351,19.78286569,2357.614051
21.12458083,2441.53973,21.11209124,2420.708227,20.32077902,2517.81745,20.48386908,2458.053123,19.99695373,2464.737069,20.72527701,2214.275361,20.15584153,2248.778229,19.76137276,2336.813021,20.39266824,2384.358437,20.5343045,2345.524174
20.8936898,2546.228376,21.18904433,2616.263836,20.98316627,2389.547303,20.60726854,2389.605242,20.68740653,2227.746221,21.34005565,2487.010038,20.65841142,2408.722388,21.03679243,2276.06609,20.93567737,2476.52482,20.6089249,2422.499952
21.56453337,2548.706658,21.79822428,2550.466271,20.61461948,2482.7292,20.60785904,2540.054627,20.61676241,2250.161912,20.67974121,2333.861889,21.17349702,2605.231625,21.60151134,2316.224413,21.51946405,2527.106435,21.21608977,2609.280864
22.0637161,2502.060867,21.46574218,2483.427756,20.91549359,2584.279081,21.55823675,2556.468788,20.90728254,2464.719407,20.44298488,2430.628693,22.25985616,2400.025751,21.54456636,2294.275498,21.88059379,2469.170718,21.68912496,2383.905218
22.06614668,2604.881003,21.84752214,2580.847895,21.59782951,2524.337209,21.68269353,2575.765839,21.47667926,2321.370663,22.40095436,2527.680238,21.89520131,2532.306968,21.80676161,2343.32555,22.07732273,2501.177504,21.92655738,2538.404442
21.96026155,2596.763683,21.55750218,2541.50991,21.60354441,2490.527753,21.52433543,2415.8457,21.35951993,2438.402551,21.35646823,2616.40232,22.10116277,2618.570795,21.65123947,2385.041971,22.18257679,2658.019374,22.31402839,2646.928936
22.25999464,2596.531134,21.92974882,2663.742072,22.54109161,2462.389629,22.1193663,2481.284426,22.13997036,2476.686677,22.47906541,2408.120703,22.45608931,2775.241215,22.82582048,2305.679701,22.77724408,2563.830553,22.93371542,2735.453511
22.98525863,2545.06301,22.94775042,2589.860478,22.53683038,2534.016839,23.07977529,2612.784687,21.95032436,2420.846896,22.1664472,2521.651578,23.98648809,2487.516435,22.55999437,2400.755769,23.43947658,2569.818021,24.00558077,2527.503164
23.62441626,2491.597036,24.23958305,2441.985066,22.80573838,2558.881998,22.92050881,2621.204045,22.22286588,2352.377046,22.34782402,2433.80597,22.70725431,2501.249864,22.68140211,2394.01339,23.10332258,2537.326419,23.32114243,2485.303431
23.94067299,2586.196933,24.08936452,2705.658574,22.87144588,2686.196552,23.02417607,2684.028209,23.03537167,2509.001649,22.62756941,2254.430876,22.73836853,2618.100481,23.93701983,2320.541744,23.16641566,2716.562856,23.22157083,2678.752104
24.03578924,2495.424789,23.44490229,2449.624956,22.98206425,2569.493226,22.92655661,2585.212279,22.63054049,2593.942843,22.26820915,2341.16588,24.08209106,2597.205147,23.71613343,2388.732659,24.1451317,2760.258163,24.0148237,2685.50039
24.19535896,2579.0132,23.50646444,2515.18735,23.24454141,2687.680928,23.12082867,2762.076777,23.28653918,2483.141815,23.80336696,2517.638891,23.72931315,2630.274425,24.21765309,2511.219425,24.62792931,2660.733477,24.09811867,2660.61031
24.51379323,2652.144738,24.22454733,2614.372688,24.32825203,2649.554658,24.27940477,2608.783225,23.63889797,2578.002144,24.67389116,2519.639839,25.87469143,2785.076329,25.26428626,2482.479025,24.88581717,2758.906952,25.17790228,2793.721609
25.31532746,2597.125737,24.99705676,2745.189349,24.44121558,2661.257136,24.4149445,2752.731082,23.96123381,2684.136569,24.44849094,2616.501569,25.72421814,2787.589911,25.05637387,2440.333465,25.84815239,2789.251701,25.89315949,2811.278796
25.2631259,2629.460551,25.292205,2586.011076,24.44541282,2680.130024,24.38683817,2673.025355,24.13704946,2527.285781,24.52532082,2598.093322,25.07975848,2647.478443,24.82788746,2500.410599,25.13433853,2760.130234,25.35364103,2802.053027
25.54135509,2798.660842,25.19966742,2758.892094,24.77400636,2548.080745,24.50335527,2444.707127,24.80116371,2638.874827,24.56073384,2644.96748,25.72266671,2699.168102,25.15361407,2561.802877,25.50687271,2816.735055,25.2690306,2750.066922
25.5689272,2713.88603,25.94890889,2659.776545,25.44792554,2608.441116,25.0974599,2592.936906,25.35837288,2678.588105,25.67625582,2567.261565,25.35275665,2859.457655,25.72414092,2552.040819,26.0648184,2888.208763,25.75158801,2842.858844
